external_id,topic_slug,type,status,content_vi,explanation_vi,content_en,explanation_en,media_ids,option_1_label,option_1_content_vi,option_1_content_en,option_1_match_vi,option_1_match_en,option_1_correct,option_2_label,option_2_content_vi,option_2_content_en,option_2_match_vi,option_2_match_en,option_2_correct,option_3_label,option_3_content_vi,option_3_content_en,option_3_match_vi,option_3_match_en,option_3_correct,option_4_label,option_4_content_vi,option_4_content_en,option_4_match_vi,option_4_match_en,option_4_correct,option_5_label,option_5_content_vi,option_5_content_en,option_5_match_vi,option_5_match_en,option_5_correct,option_6_label,option_6_content_vi,option_6_content_en,option_6_match_vi,option_6_match_en,option_6_correct,option_7_label,option_7_content_vi,option_7_content_en,option_7_match_vi,option_7_match_en,option_7_correct,option_8_label,option_8_content_vi,option_8_content_en,option_8_match_vi,option_8_match_en,option_8_correct,option_9_label,option_9_content_vi,option_9_content_en,option_9_match_vi,option_9_match_en,option_9_correct,option_10_label,option_10_content_vi,option_10_content_en,option_10_match_vi,option_10_match_en,option_10_correct,option_11_label,option_11_content_vi,option_11_content_en,option_11_match_vi,option_11_match_en,option_11_correct,option_12_label,option_12_content_vi,option_12_content_en,option_12_match_vi,option_12_match_en,option_12_correct,option_13_label,option_13_content_vi,option_13_content_en,option_13_match_vi,option_13_match_en,option_13_correct,option_14_label,option_14_content_vi,option_14_content_en,option_14_match_vi,option_14_match_en,option_14_correct,option_15_label,option_15_content_vi,option_15_content_en,option_15_match_vi,option_15_match_en,option_15_correct,option_16_label,option_16_content_vi,option_16_content_en,option_16_match_vi,option_16_match_en,option_16_correct,option_17_label,option_17_content_vi,option_17_content_en,option_17_match_vi,option_17_match_en,option_17_correct,option_18_label,option_18_content_vi,option_18_content_en,option_18_match_vi,option_18_match_en,option_18_correct,option_19_label,option_19_content_vi,option_19_content_en,option_19_match_vi,option_19_match_en,option_19_correct,option_20_label,option_20_content_vi,option_20_content_en,option_20_match_vi,option_20_match_en,option_20_correct
42a3b0ad-a5e1-4d6f-ad44-ac9dc056fa13,pmp-environment,SINGLE_CHOICE,DRAFT,,,"During a project team meeting, several potential risks are identified. The sponsor requests a follow-up meeting to understand which risks require the most attention and how they may impact project objectives. The project manager wants to prioritize the risks before the meeting and determine which ones warrant further analysis. What should the project manager do?",,,A,,Conduct a qualitative risk analysis to assess the probability and impact.,,,TRUE,B,,Perform quantitative analysis to calculate overall risk exposure.,,,FALSE,C,,Use a Monte Carlo simulation to model schedule sensitivity.,,,FALSE,D,,Ask subject matter experts to help validate the entries in the risk register.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b981497f-9d45-470c-af8c-fe8a8ef692e7,pmp-environment,SINGLE_CHOICE,DRAFT,,,"At the initial meeting for a road construction project, the project manager emphasized the importance of following all rules during project execution and stakeholder interactions. However, as the project progresses, some team members begin arriving late to meetings and disregarding other established ground rules. What should the project manager do next to protect the project's outcomes and schedule?",,,A,,Speak directly with the team members who have not followed the ground rules to address the issue.,,,TRUE,B,,Consider reassigning team members who repeatedly violate established ground rules.,,,FALSE,C,,Recognize and reward team members who consistently adhere to the established ground rules.,,,FALSE,D,,Allow the team to identify and address any team members who violate the ground rules.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6d9ebc2d-3870-48ca-ab58-a9f6d3cfa628,pmp-environment,SINGLE_CHOICE,DRAFT,,,A project team piloted a new dashboard for tracking earned value metrics that improved visibility and decision‑making. The dashboard was created within the project but is not yet part of the organization’s standard toolset. The project manager must ensure this innovation is captured for future use. What should the project manager do?,,,A,,Include the dashboard in the final project report to provide awareness for project stakeholders.,,,FALSE,B,,Convert the pilot dashboard into a reusable template and add it to the organizational repository.,,,TRUE,C,,Share the dashboard informally with other project managers across the organization.,,,FALSE,D,,Ask the project sponsor to approve the dashboard for organizational use in future initiatives.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7cbf0c53-f497-472d-be57-137287d7cc2e,pmp-environment,SINGLE_CHOICE,DRAFT,,,"A key vendor providing specialized API integration components for an agile project is two weeks behind schedule due to unexpected security compliance issues. This delay impacts eight user stories across the next three sprints and jeopardizes a contractual milestone, which could incur a US$50,000 penalty clause. The current vendor requests additional funds for security remediation, and switching vendors would require four weeks of knowledge transfer and onboarding. The product owner is pressing to remove security features from the scope, but regulatory requirements demand their inclusion. What should the project manager do first to resolve this issue?",,,A,,"Perform a thorough impact analysis of all resolution options, including costs and implications.",,,TRUE,B,,Negotiate with the vendor for accelerated delivery while identifying alternative suppliers.,,,FALSE,C,,"Facilitate stakeholder alignment on trade-offs between scope, timeline, and compliance.",,,FALSE,D,,Pivot the team to focus on independent user stories while developing a vendor resolution strategy.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39b43250-3650-459e-b14a-27ef1c5f9ac9,pmp-environment,SINGLE_CHOICE,DRAFT,,,"A market research initiative is being launched using an agile approach to test demand for a new product. The team needs to define success metrics, but marketing managers are divided between customer engagement and speed of insights. The team needs to define success metrics that enable adaptive governance. What should the project team do?",,,A,,Monitor and record the number of page views and social media impressions to demonstrate early visibility.,,,FALSE,B,,"Define qualified recruit rate, time to insight, and interview completion predictability and review them at cadence points.",,,TRUE,C,,"Measure and document available delivery indicators, including velocity, cycle time, backlog size, and defect counts.",,,FALSE,D,,Document success criteria such as increased customer engagement and rely on these as measurable indicators.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4c0108b5-75b4-4507-bdb6-596eb8cf680b,pmp-environment,SINGLE_CHOICE,DRAFT,,,A manufacturing company identifies a problem with the high defect rate in one of its production lines. The team sets a goal to reduce the defect rate by 20% over the next quarter. The sponsor asks the project manager to take a structured approach to problem-solving and making informed decisions to enhance project outcomes. What should the project manager do?,,,A,,"Develop a contingency plan, define specific conditions or events that would trigger the plan, and add the details to the risk management plan.",,,FALSE,B,,Empower team members to make decisions within their areas of expertise to enable faster responses to changing internal and external conditions.,,,FALSE,C,,"Offer training to help the team learn problem-solving skills, increasing the likelihood of sustaining improvements over time.",,,FALSE,D,,"Iterate through the plan-do-check-act (PDCA) cycle to refine processes and practices, leading to incremental improvements in project efficiency.",,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44efb2ac-5060-4377-9dc9-4b16e38ab5b5,pmp-environment,SINGLE_CHOICE,DRAFT,,,"A project manager receives a complaint that the team did not respond appropriately to a client's request. However, the project manager is aware that the team has been receiving multiple out-of-scope requests from the client. What should the project manager do next?",,,A,,"Encourage the team members to ask the ""five whys"" during their communications with the client.",,,FALSE,B,,Ask the client to provide a clearer explanation of the requests and issues they shared with the team.,,,FALSE,C,,Review the scope with the client and ensure all requests are documented and processed as change requests.,,,TRUE,D,,Request to be included in all future communications between the project team members and the client.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58dee198-7b3b-420a-9eb1-b5fe45c5cc68,pmp-environment,SINGLE_CHOICE,DRAFT,,,"While planning a global solution delivery in a multinational organization, the project manager and team drafted all work items and defined the priorities and methodologies for implementation. During one of the daily meetings, a team member raises concerns about the compliance of the technology being used and suggests an alternative that better aligns with the country's data privacy policies. What should the project manager do first?",,,A,,Ask the architecture owner to assess the team member's proposal and evaluate the compliance concerns.,,,FALSE,B,,Assess the validity of the concern and evaluate the compliance of the current and newly proposed technology.,,,TRUE,C,,Meet with the customer and ask if they would be comfortable implementing the newly proposed technology.,,,FALSE,D,,Obtain support from the information technology (IT) department regarding the feasibility of the new technology.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f13c70d7-27e4-41e0-bfff-01558220e8ae,pmp-environment,SINGLE_CHOICE,DRAFT,,,"Production of a critical machine was outsourced to a foreign supplier. Just before delivering the final two components, the supplier notifies the project manager that prices must be renegotiated, or they will withhold shipment. This situation jeopardizes the completion of the machine and impacts the project timeline. What should the project manager do first?",,,A,,Initiate legal action against the supplier to address breach of contract and ensure compliance.,,,FALSE,B,,Engage with new vendors to assess the feasibility of quickly sourcing the remaining components.,,,FALSE,C,,Agree to renegotiate revised pricing with the supplier to avoid project delays and added costs.,,,FALSE,D,,Review the current contract for clauses concerning pricing adjustments and renegotiation rights.,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4e107f56-c034-4b4f-aa4a-a1b79f3c05ad,pmp-environment,SINGLE_CHOICE,DRAFT,,,"Midway through project execution, the project sponsor leaves the organization, and a new sponsor is assigned. After reviewing the latest status report, the new sponsor requests significant changes to the deliverables, stating that the market and customer expectations have evolved. The project is already 60% complete, with most resources committed, and several contractual milestones linked to the original scope. The team is concerned about rework and possible delays, while the new sponsor insists that the changes align with current customer expectations. What should the project manager do first?",,,A,,"Meet with the new sponsor and stakeholders to review goals, constraints, and reasons for the changes.",,,TRUE,B,,Request additional resources to accommodate the changes requested by the sponsor.,,,FALSE,C,,Update the project plan to incorporate changes while maintaining the original deadlines.,,,FALSE,D,,Escalate to the project steering committee for a decision on approving or rejecting the changes.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
