external_id,topic_slug,type,status,content_vi,explanation_vi,content_en,explanation_en,media_ids,option_1_label,option_1_content_vi,option_1_content_en,option_1_match_vi,option_1_match_en,option_1_correct,option_2_label,option_2_content_vi,option_2_content_en,option_2_match_vi,option_2_match_en,option_2_correct,option_3_label,option_3_content_vi,option_3_content_en,option_3_match_vi,option_3_match_en,option_3_correct,option_4_label,option_4_content_vi,option_4_content_en,option_4_match_vi,option_4_match_en,option_4_correct,option_5_label,option_5_content_vi,option_5_content_en,option_5_match_vi,option_5_match_en,option_5_correct,option_6_label,option_6_content_vi,option_6_content_en,option_6_match_vi,option_6_match_en,option_6_correct,option_7_label,option_7_content_vi,option_7_content_en,option_7_match_vi,option_7_match_en,option_7_correct,option_8_label,option_8_content_vi,option_8_content_en,option_8_match_vi,option_8_match_en,option_8_correct,option_9_label,option_9_content_vi,option_9_content_en,option_9_match_vi,option_9_match_en,option_9_correct,option_10_label,option_10_content_vi,option_10_content_en,option_10_match_vi,option_10_match_en,option_10_correct,option_11_label,option_11_content_vi,option_11_content_en,option_11_match_vi,option_11_match_en,option_11_correct,option_12_label,option_12_content_vi,option_12_content_en,option_12_match_vi,option_12_match_en,option_12_correct,option_13_label,option_13_content_vi,option_13_content_en,option_13_match_vi,option_13_match_en,option_13_correct,option_14_label,option_14_content_vi,option_14_content_en,option_14_match_vi,option_14_match_en,option_14_correct,option_15_label,option_15_content_vi,option_15_content_en,option_15_match_vi,option_15_match_en,option_15_correct,option_16_label,option_16_content_vi,option_16_content_en,option_16_match_vi,option_16_match_en,option_16_correct,option_17_label,option_17_content_vi,option_17_content_en,option_17_match_vi,option_17_match_en,option_17_correct,option_18_label,option_18_content_vi,option_18_content_en,option_18_match_vi,option_18_match_en,option_18_correct,option_19_label,option_19_content_vi,option_19_content_en,option_19_match_vi,option_19_match_en,option_19_correct,option_20_label,option_20_content_vi,option_20_content_en,option_20_match_vi,option_20_match_en,option_20_correct
7590ba42-9af6-497d-9a54-58c21346443e,pmp-process,SINGLE_CHOICE,DRAFT,,,"A project manager is finishing a project in a complex environment where the initial scope, timeline, and resources have evolved over time. The sponsor is requesting insights on the realization of benefits and the overall value delivered by the project. The project manager needs to calculate the value of the project outcomes, considering both the planned benefits and any additional value that may have emerged throughout the project life cycle. The project manager also needs to consider any challenges faced during execution, such as budget deviations, changes in scope, and varying stakeholder expectations. How should the project manager calculate the value of the project outcomes?",,,A,,"Evaluate both qualitative and quantitative project benefits, considering their alignment with the project's strategic goals.",,,TRUE,B,,Calculate the tangible benefits and divide them by the total project expenses to measure the project's return on investment (ROI).,,,FALSE,C,,Perform a retrospective financial analysis to assess whether the expected financial benefits were realized.,,,FALSE,D,,Compare the actual project outcomes with the initial budget to evaluate the project's financial performance.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b5d5f87-8c2d-43fd-9af6-10d4466e193e,pmp-process,SINGLE_CHOICE,DRAFT,,,"A project manager working in a matrix organization is managing a project that is scheduled to be completed in one month. At a project meeting, the project manager was informed that the number of errors encountered in the software code was steadily increasing. During discussions with the development team lead, the project manager is told that this is normal when trying to stay on schedule. The development team is pressing to move on so that a deadline is not missed, but the project manager is concerned. What should the project manager do?",,,A,,Update the work breakdown structure (WBS) and extend the durations in the project schedule to allow more development time.,,,FALSE,B,,"Direct the team to continue development to avoid missing the deadline, noting that the risk has been mitigated.",,,FALSE,C,,Examine the quality metrics to determine if the project is complying with the documented quality requirements.,,,TRUE,D,,"Submit a change request through the change control process to extend the deadline, allowing more time for development.",,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7ee74a58-8762-485f-9c16-51457614f17c,pmp-process,SINGLE_CHOICE,DRAFT,,,"A large manufacturer of electronic devices releases regular product updates. The current project delivers outputs on schedule, but adoption metrics show customers are not using the new features. Stakeholders demand evidence of realized benefits. The project sponsor is criticizing the project manager for focusing on delivery rather than outcomes. What should the project manager do?",,,A,,Provide earned value metrics as proof because the project is within budget and on schedule.,,,FALSE,B,,Clarify that benefit realization is the sponsor’s responsibility and outside project scope.,,,FALSE,C,,Provide testimonials from selected users as evidence of the value that is being delivered.,,,FALSE,D,,Collaborate with stakeholders to analyze adoption gaps and adapt plans to improve benefits realization.,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d984f20f-a8a2-4f2e-aaf2-b7029be84f96,pmp-process,SINGLE_CHOICE,DRAFT,,,"After analyzing performance metrics during project execution, the project manager realizes that some metrics offer misleading information about the project’s progress. Although a large number of deliverables have been completed, closer examination reveals that many of them were smaller, partial, or less important, and most of the more difficult tasks still remain. It will be critical to ensure more useful metrics for the remainder of the project. What should the project manager do?",,,A,,Create shorter reporting periods so that all metrics are analyzed more frequently.,,,FALSE,B,,Revise the metrics to measure outcomes related to the project’s major goals.,,,TRUE,C,,Supplement existing metrics with additional ones to gain a variety of perspectives.,,,FALSE,D,,Ensure that the metrics prioritize measuring the project’s return on investment.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ec8734c4-a155-48c4-b515-d7991daa9bec,pmp-process,SINGLE_CHOICE,DRAFT,,,"A project manager is developing a configuration management plan for a project that will produce a large amount of information. The project manager needs to sort this information into useful records that will identify what kind of information to track, where to store it, and how to control access to it. What should the project manager do?",,,A,,Provide detailed procedures for handling all possible types of information to prevent confusion and make it easier for the team to keep records.,,,FALSE,B,,Create a configuration management plan that outlines how to handle work performance data generated during project execution.,,,TRUE,C,,Protect access to project records by defining control mechanisms that are strict enough to meet predictive life cycle governance requirements.,,,FALSE,D,,Specify the handling of informal communications artifacts such as emails and phone conversations that might otherwise be overlooked.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9be633ef-74b5-4cc2-abfa-749a79229cd5,pmp-process,SINGLE_CHOICE,DRAFT,,,"During detailed project planning, stakeholders emphasize that the proposed initiative carries significant uncertainty and multiple high-risk exposures. The sponsor, who must secure external financing, insists on presenting the lowest possible project cost to lenders to improve the chances of approval. Senior management expects the project manager to deliver a budget that anticipates potential risks. The project manager has to balance sponsor pressure with the responsibility to include adequate contingency in the budget baseline. What should the project manager do?",,,A,,Quantify a realistic contingency reserve and incorporate it into the budget plan.,,,TRUE,B,,"Explain to the sponsor the potential overruns, schedule delays, and scope impacts.",,,FALSE,C,,Develop justification for contingency reserves and present it to senior management for approval.,,,FALSE,D,,Compare overruns in historical project budgets and determine whether contingencies were applied.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6951c654-d9bf-4b9a-b08c-8cb64354b153,pmp-process,SINGLE_CHOICE,DRAFT,,,"After several iterations, the project manager feels that although the team is completing the work as planned, they are not entirely comfortable with some of the agile processes used in the project. When should the project manager talk about this and make adjustments?",,,A,,At the next daily coordination meeting.,,,FALSE,B,,At the lessons learned workshop.,,,FALSE,C,,At the next retrospective meeting.,,,TRUE,D,,At the next iteration planning meeting.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87e0ae09-3c33-43e7-b5ea-d884259557d9,pmp-process,SINGLE_CHOICE,DRAFT,,,An agile project manager is overseeing a Kanban project and wants to assess task completion roadblocks for an upcoming major milestone. What should the project manager do?,,,A,,Create a performance metric using the work-in-progress limit.,,,FALSE,B,,Ask a trusted team member about the issues the team is facing.,,,FALSE,C,,Review the blocked items with the team during daily coordination meetings.,,,TRUE,D,,Facilitate a meeting with stakeholders to discuss task completion roadblocks.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c818bf2-5738-4945-bedc-e0c84a8e7135,pmp-process,SINGLE_CHOICE,DRAFT,,,"During an audit, reviewers discover inconsistent reporting of working hours across different teams. The sponsor suggests that the project manager minimize the reviewers' findings so executives remain confident. The client demands assurance that project status reports are accurate and reliable. What should the project manager do?",,,A,,"Downplay inconsistencies, citing a misunderstanding of reporting requirements.",,,FALSE,B,,Remove detailed hour tracking from the status report and replace it with a summary of completed tasks.,,,FALSE,C,,"Correct the inconsistencies, reconcile all reported hours, and update status reports for stakeholders.",,,TRUE,D,,Get a second expert opinion to go over the reporting inconsistencies.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b69d4e66-0b4d-4fdc-acdf-142e836ad84f,pmp-process,SINGLE_CHOICE,DRAFT,,,"A project requiring major equipment rental is completing its final milestone two months early. The financial manager demands refunds for the unused portion of rental contracts. The project manager must ensure resources are properly released, and project closure is conducted in compliance with organizational and contractual procedures. What should the project manager do?",,,A,,"Document financial implications, release rented equipment formally, and update organizational process assets accordingly.",,,FALSE,B,,"Conduct formal procurement closure, validate vendor acceptance, and confirm contract provisions for early termination.",,,TRUE,C,,Involve the procurement and legal departments with finance’s refund request for resolution within contractual boundaries.,,,FALSE,D,,Extend discussions with the vendors to evaluate renegotiation of contract terms and update cost forecasts appropriately.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
