external_id,topic_slug,type,status,content_vi,explanation_vi,content_en,explanation_en,media_ids,option_1_label,option_1_content_vi,option_1_content_en,option_1_match_vi,option_1_match_en,option_1_correct,option_2_label,option_2_content_vi,option_2_content_en,option_2_match_vi,option_2_match_en,option_2_correct,option_3_label,option_3_content_vi,option_3_content_en,option_3_match_vi,option_3_match_en,option_3_correct,option_4_label,option_4_content_vi,option_4_content_en,option_4_match_vi,option_4_match_en,option_4_correct,option_5_label,option_5_content_vi,option_5_content_en,option_5_match_vi,option_5_match_en,option_5_correct,option_6_label,option_6_content_vi,option_6_content_en,option_6_match_vi,option_6_match_en,option_6_correct,option_7_label,option_7_content_vi,option_7_content_en,option_7_match_vi,option_7_match_en,option_7_correct,option_8_label,option_8_content_vi,option_8_content_en,option_8_match_vi,option_8_match_en,option_8_correct,option_9_label,option_9_content_vi,option_9_content_en,option_9_match_vi,option_9_match_en,option_9_correct,option_10_label,option_10_content_vi,option_10_content_en,option_10_match_vi,option_10_match_en,option_10_correct,option_11_label,option_11_content_vi,option_11_content_en,option_11_match_vi,option_11_match_en,option_11_correct,option_12_label,option_12_content_vi,option_12_content_en,option_12_match_vi,option_12_match_en,option_12_correct,option_13_label,option_13_content_vi,option_13_content_en,option_13_match_vi,option_13_match_en,option_13_correct,option_14_label,option_14_content_vi,option_14_content_en,option_14_match_vi,option_14_match_en,option_14_correct,option_15_label,option_15_content_vi,option_15_content_en,option_15_match_vi,option_15_match_en,option_15_correct,option_16_label,option_16_content_vi,option_16_content_en,option_16_match_vi,option_16_match_en,option_16_correct,option_17_label,option_17_content_vi,option_17_content_en,option_17_match_vi,option_17_match_en,option_17_correct,option_18_label,option_18_content_vi,option_18_content_en,option_18_match_vi,option_18_match_en,option_18_correct,option_19_label,option_19_content_vi,option_19_content_en,option_19_match_vi,option_19_match_en,option_19_correct,option_20_label,option_20_content_vi,option_20_content_en,option_20_match_vi,option_20_match_en,option_20_correct
22b9635f-5b88-4d10-860b-ec586b910a3f,final-exam-26,SINGLE_CHOICE,DRAFT,,,"A project team forgot to complete a planned task in an iteration. During a daily coordination meeting 3 days later, the team realized the task was not completed. Later that day, the team completed the task. What should the project manager do to avoid this situation in the future?",,,A,,Examine the issue during the retrospective.,,,TRUE,B,,Address the issue in the demo.,,,FALSE,C,,Discuss the issue during the next iteration planning.,,,FALSE,D,,Send an email to the team.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844ad61-6948-445d-94a0-0ff949f03f6e,final-exam-26,SINGLE_CHOICE,DRAFT,,,A project management office (PMO) wants to offer constant reporting across dozens of agile projects running concurrently. The PMO wants to use information radiators to share progress status and key lessons learned. How can this be achieved?,,,A,,Create dashboards that display combined feature burnup charts and a summary of retrospectives.,,,TRUE,B,,Place webcams to broadcast all kanban boards and cycle the images sequentially on the information radiator.,,,FALSE,C,,Use fishbowl windows to show all project team kanban boards and charts in real time.,,,FALSE,D,,Set up an internal Wiki page for all agile teams to update in real time and for users to consult on demand.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b36a06ab-986c-4f8d-aa84-da49591a550d,final-exam-26,SINGLE_CHOICE,DRAFT,,,The last three agile iterations showed a trend of increasingly prolonged test work. Which action should the project manager take to address the root cause of this issue?,,,A,,Discuss this in the next iteration planning meeting.,,,FALSE,B,,Plan an iteration of testing only.,,,FALSE,C,,Practice a paired testing policy.,,,FALSE,D,,Refine the backlog.,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0906f27a-6bbd-4c4f-ab25-1ba4375ff30a,final-exam-26,SINGLE_CHOICE,DRAFT,,,A project team alerted a product owner after three agile iterations showed a trend of increasingly prolonged work. The product owner performed an intensive backlog refinement.Which metric shows the problem was effectively addressed?,,,A,,Increase in value per story,,,FALSE,B,,Speed of impediment resolution,,,FALSE,C,,Stories completed per iteration,,,TRUE,D,,Decrease in backlog item count,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0387dd79-1dd9-4c95-89c6-ef866b8e3110,final-exam-26,MULTIPLE_CHOICE,DRAFT,,,"During execution, updated performance data shows that several sustainability initiatives are delivering long-term benefits but are increasing short-term cost and schedule pressure. Stakeholders are divided between protecting near-term commitments and preserving long-term value outcomes. Which actions should the project manager take? (Select all that apply.)",,,A,,"Reassess initiative priorities using updated value, cost, and sustainability information.",,,TRUE,B,,Reduce or pause sustainability initiatives to protect near-term schedule commitments.,,,FALSE,C,,Communicate trade-offs and value implications to stakeholders to support decisions.,,,TRUE,D,,Continue executing all initiatives as planned to avoid revisiting prior decisions.,,,FALSE,E,,Align delivery decisions with agreed value criteria and governance thresholds.,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e2af54c-8021-44a9-a6dc-ecabe239861a,final-exam-26,SINGLE_CHOICE,DRAFT,,,"The project manager receives the weekly project status report. The report includes a schedule, budget status, and risk updates. A risk has been identified in the last reporting period, and its impact is described as moderate, with mitigation actions underway. The project is behind schedule due to delayed approval on a key deliverable, but the budget is on track. 

Based on the project status report, what should the project manager focus on in the next week to ensure project success?",,,A,,Monitoring the risk and updating the project schedule to reflect realistic timelines,,,TRUE,B,,Approving additional budget allocation organizationally to resolve the delayed deliverable and prevent further delays,,,FALSE,C,,Notifying all stakeholders about the schedule delay and requesting a formal change in scope to compensate for lost time,,,FALSE,D,,Increasing the frequency of risk reporting and concentrating efforts on budget management,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ae6c3e0b-5637-42a1-a52e-0da89680c7a1,final-exam-26,SINGLE_CHOICE,DRAFT,,,"During a meeting, a project manager learns that a business result needs to be delivered in 12 weeks, although the original schedule stated 16 weeks. The project manager also learns the assigned technical specialist is already working on another project. What should the project manager do first?",,,A,,Notify the project sponsor about the lack of a technical resource.,,,FALSE,B,,Immediately escalate the issue to decision-makers in the organization.,,,FALSE,C,,Raise the issue of not being done in 12 weeks and develop an appropriate response.,,,TRUE,D,,Hire an outside party to meet the need for a technical resource.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7f120eb1-972d-4a37-aa58-3045f089d9c3,final-exam-26,SINGLE_CHOICE,DRAFT,,,"A project manager is working in a virtual team. During the third iteration of a project to develop a product, the project manager realizes the team dashboard is faulty and not showing updates. Which action should the project manager take next?",,,A,,Send daily team email updates.,,,FALSE,B,,Rank the need to fix the dashboard according to the business value for upcoming iterations.,,,FALSE,C,,Fix the dashboard.,,,TRUE,D,,Document the issue as a new project risk and propose a solution.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2b44105-c7c2-4426-b303-1a5aac11cf60,final-exam-26,SINGLE_CHOICE,DRAFT,,,"During an iteration, a project team working in country B encounters problems that may cause a delay in the completion of task B. Teams in country A need task B to be completed on time to meet their schedules. These teams work together virtually. What should the project manager do to resolve this problem?",,,A,,Ask the team in country B to work harder to complete on time to avoid delaying the work of other teams.,,,FALSE,B,,Ask the teams to collaborate virtually to find a solution to avert the potential delay.,,,TRUE,C,,Increase the iteration length and add additional resources to the project team so they can meet the appropriate deadlines.,,,FALSE,D,,Ask team members to perform to the best of their abilities during the iteration and engage in a retrospective after completion of the iteration.,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87838f39-a1c1-4e65-be44-21463537599f,final-exam-26,SINGLE_CHOICE,DRAFT,,,"A long-standing key team member in a virtual team has been unmotivated for weeks following the death of a family member. Several project activities are behind schedule, impacting the critical path of the project. How should the project manager handle this situation?",,,A,,Replace the team member.,,,FALSE,B,,Work with the team member to identify a workable solution.,,,TRUE,C,,Escalate this situation as a human resource issue and ask other team members to work overtime.,,,FALSE,D,,"Ask the functional manager for additional support on the project, including adding a new team member.",,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
