external_id,topic_slug,type,status,content_vi,explanation_vi,content_en,explanation_en,media_ids,option_1_label,option_1_content_vi,option_1_content_en,option_1_match_vi,option_1_match_en,option_1_correct,option_2_label,option_2_content_vi,option_2_content_en,option_2_match_vi,option_2_match_en,option_2_correct,option_3_label,option_3_content_vi,option_3_content_en,option_3_match_vi,option_3_match_en,option_3_correct,option_4_label,option_4_content_vi,option_4_content_en,option_4_match_vi,option_4_match_en,option_4_correct,option_5_label,option_5_content_vi,option_5_content_en,option_5_match_vi,option_5_match_en,option_5_correct,option_6_label,option_6_content_vi,option_6_content_en,option_6_match_vi,option_6_match_en,option_6_correct,option_7_label,option_7_content_vi,option_7_content_en,option_7_match_vi,option_7_match_en,option_7_correct,option_8_label,option_8_content_vi,option_8_content_en,option_8_match_vi,option_8_match_en,option_8_correct,option_9_label,option_9_content_vi,option_9_content_en,option_9_match_vi,option_9_match_en,option_9_correct,option_10_label,option_10_content_vi,option_10_content_en,option_10_match_vi,option_10_match_en,option_10_correct,option_11_label,option_11_content_vi,option_11_content_en,option_11_match_vi,option_11_match_en,option_11_correct,option_12_label,option_12_content_vi,option_12_content_en,option_12_match_vi,option_12_match_en,option_12_correct,option_13_label,option_13_content_vi,option_13_content_en,option_13_match_vi,option_13_match_en,option_13_correct,option_14_label,option_14_content_vi,option_14_content_en,option_14_match_vi,option_14_match_en,option_14_correct,option_15_label,option_15_content_vi,option_15_content_en,option_15_match_vi,option_15_match_en,option_15_correct,option_16_label,option_16_content_vi,option_16_content_en,option_16_match_vi,option_16_match_en,option_16_correct,option_17_label,option_17_content_vi,option_17_content_en,option_17_match_vi,option_17_match_en,option_17_correct,option_18_label,option_18_content_vi,option_18_content_en,option_18_match_vi,option_18_match_en,option_18_correct,option_19_label,option_19_content_vi,option_19_content_en,option_19_match_vi,option_19_match_en,option_19_correct,option_20_label,option_20_content_vi,option_20_content_en,option_20_match_vi,option_20_match_en,option_20_correct
ac14380e-8409-4285-bc51-51b48b847c89,old-exam-01,SINGLE_CHOICE,DRAFT,,,"Unlike traditional managers, agile leaders:",,,A,,Enable team members to act,,,TRUE,B,,Solve problems for the team,,,FALSE,C,,Create working agreements,,,FALSE,D,,"Handles uncertainties, risks, and changes",,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6cec031f-8a7b-46fa-a786-d41fe23bee3c,old-exam-01,SINGLE_CHOICE,DRAFT,,,"The project you are leading is supposed to upgrade the application developed by your company on desktop computers and mobile devices. Last week, a major supplier of electronics unexpectedly released a new mobile device. You realize that your application, with a little bit of modification, can run much faster and more securely on the new device. What should you do next in regards to this opportunity?",,,A,,Create a cost forecast and communicate it to stakeholders,,,FALSE,B,,Submit a change request to modify the application,,,TRUE,C,,Update project funding requirements in consideration for the unexpected work,,,FALSE,D,,Conduct variance analysis for an appropriate reserve amount,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b553aeee-350a-4544-9a55-d46843ce85de,old-exam-01,SINGLE_CHOICE,DRAFT,,,"You are leading a project that was supposed to be managed using agile methods. Every week, however, the product owner holds a five-hour backlog refinement meeting with the project team where she presents the project scope broken down to the work package level. After three iterations, the project team's velocity is slower than expected. What is your best course of action?",,,A,,Ask the product owner to decompose the scope down to the task level and assign the tasks to the team members,,,FALSE,B,,Advise the product owner to hold two five-hour backlog refinement meetings per week to gain further clarity on the scope,,,FALSE,C,,Coach the product owner on presenting the overall story concept with one-hour weekly backlog refinement meetings,,,TRUE,D,,Hold a team-building exercise with the team members and product owner to improve the communication between them,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4116279b-5558-475d-86f3-2fd6145c7ecc,old-exam-01,SINGLE_CHOICE,DRAFT,,,"The project management plan and the performance measurement baseline have been approved. As you monitor the project's progress, you realize the approved budget is limiting the project and will affect the targeted completion date. This constraint could affect the company's success in the new venture. What is your best course of action?",,,A,,Use the contingency reserves,,,FALSE,B,,Use the management reserves,,,FALSE,C,,Cut costs to stay within the budget,,,FALSE,D,,Ask for a change in the budget,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77b61bc2-8a73-4684-aec5-9ed4cd63b753,old-exam-01,SINGLE_CHOICE,DRAFT,,,You and your project team have just completed the development of the project management plan for your agile project. You have requested one of the team members to schedule a meeting to present the finalized project management plan. The team member has asked who should be invited to the meeting. How should you respond?,,,A,,Invite the customer only because it is an agile project,,,FALSE,B,,Find the answer in the organization process assets,,,TRUE,C,,Invite only the project sponsor and the project team,,,FALSE,D,,Consult the project schedule network diagram,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00d0fdab-34fe-4402-b2e9-c5fce03caf10,old-exam-01,SINGLE_CHOICE,DRAFT,,,"You are a scrum master leading an agile project team that has been consistently meeting the goals set for each iteration. The product owner is pleased with the team's progress, and the performance measurement baseline shows no deviations. However, you feel that one team member is less productive than the others. What is the most appropriate feedback approach for you to take in this situation?",,,A,,Allow the project team members to address the issue if they deem necessary,,,TRUE,B,,Direct the underperforming team member to work extra hours to bridge the gap,,,FALSE,C,,Call out the team member's low productivity at the upcoming iteration retrospective,,,FALSE,D,,"From the next iteration onward, assign the team member the easiest user stories",,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64b027d2-0f24-4d74-a1f4-cc4c3dd6c473,old-exam-01,SINGLE_CHOICE,DRAFT,,,"As part of the Develop Schedule process, the project manager creates the project schedule using a Gantt chart. Three Scrum teams will develop the project deliverables. Due to dependencies, the teams will be required to coordinate their work twice a week using extended standup meetings. What should the project manager do next?",,,A,,Submit a change request to switch the Gantt chart to burndown chart,,,FALSE,B,,Include Scrum of Scrums (SoS) meetings in the project schedule,,,TRUE,C,,Crash the schedule to eliminate the dependencies between the teams,,,FALSE,D,,Reflect the actual velocity of the teams in the project schedule,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13b4fec5-ae99-4b3c-b88e-47bfa23cd74c,old-exam-01,MULTIPLE_CHOICE,DRAFT,,,"You are managing a project team that has recently been expanded by new team members working remotely from another country. Their roles have been outlined to form a preliminary team charter. Nevertheless, you have noticed a considerable lack of acceptance of cultural differences in the team, resulting in frequent conflicts. Which of the following techniques could help you in this situation? (Choose three)",,,A,,Focus groups,,,TRUE,B,,Role definition,,,FALSE,C,,Ground rules,,,TRUE,D,,Ability tests,,,FALSE,E,,Meetings,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f7d8bb3d-0b56-463c-8b0d-6902af4f4ffa,old-exam-01,SINGLE_CHOICE,DRAFT,,,You are a senior project manager who is mentoring a newly promoted project manager. Your mentee states that she has recurring arguments with her project team and is having difficulty controlling her own temper. This situation has created a toxic environment for the project team and threatens the successful completion of the project. What is the best advice for your mentee?,,,A,,Improve leadership skills,,,FALSE,B,,Develop emotional intelligence,,,TRUE,C,,Study conflict management,,,FALSE,D,,Introduce recognition and rewards,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134cac4d-333e-47ea-bb60-b3ac261f53ee,old-exam-01,SINGLE_CHOICE,DRAFT,,,The project manager is 6 months into a multi-million-dollar project. The latest analysis shows a CPI of 1.5 and an SPI of 0.6. What should she do?,,,A,,Nothing. The analysis shows the project is on budget and on schedule.,,,FALSE,B,,Consider crashing the project schedule,,,TRUE,C,,Replace one of the higher paid team members with a lower-salaried employee,,,FALSE,D,,Inform the customer that you are extending the delivery date for the project,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
